,room,capacity,time,occupancy,occupancyCount
95,B002,90,Tue Nov 03 16:00:00,25%,22.5
96,B002,90,Wed Nov 04 09:00:00,25%,22.5
97,B002,90,Wed Nov 04 10:00:00,25%,22.5
98,B002,90,Wed Nov 04 11:00:00,25%,22.5
99,B002,90,Wed Nov 04 12:00:00,50%,45.0
100,B002,90,Wed Nov 04 13:00:00,0%,0.0
101,B002,90,Wed Nov 04 14:00:00,25%,22.5
102,B002,90,Wed Nov 04 15:00:00,0%,0.0
103,B002,90,Wed Nov 04 16:00:00,25%,22.5
104,B002,90,Thu Nov 05 09:00:00,0%,0.0
105,B002,90,Thu Nov 05 10:00:00,50%,45.0
106,B002,90,Thu Nov 05 11:00:00,25%,22.5
107,B002,90,Thu Nov 05 12:00:00,25%,22.5
108,B002,90,Thu Nov 05 13:00:00,25%,22.5
109,B002,90,Thu Nov 05 14:00:00,25%,22.5
110,B002,90,Thu Nov 05 15:00:00,50%,45.0
111,B002,90,Thu Nov 05 16:00:00,0%,0.0
112,B002,90,Fri Nov 06 09:00:00,0%,0.0
113,B002,90,Fri Nov 06 10:00:00,0%,0.0
114,B002,90,Fri Nov 06 11:00:00,25%,22.5
115,B002,90,Fri Nov 06 12:00:00,25%,22.5
116,B002,90,Fri Nov 06 13:00:00,25%,22.5
117,B002,90,Fri Nov 06 14:00:00,25%,22.5
118,B002,90,Fri Nov 06 15:00:00,50%,45.0
119,B002,90,Fri Nov 06 16:00:00,50%,45.0
120,B002,90,Mon Nov 09 09:00:00,25%,22.5
121,B002,90,Mon Nov 09 10:00:00,25%,22.5
122,B002,90,Mon Nov 09 11:00:00,0%,0.0
123,B002,90,Mon Nov 09 12:00:00,25%,22.5
124,B002,90,Mon Nov 09 13:00:00,25%,22.5
125,B002,90,Mon Nov 09 14:00:00,25%,22.5
126,B002,90,Mon Nov 09 15:00:00,25%,22.5
127,B002,90,Mon Nov 09 16:00:00,25%,22.5
128,B002,90,Tue Nov 10 09:00:00,0%,0.0
129,B002,90,Tue Nov 10 10:00:00,0%,0.0
130,B002,90,Tue Nov 10 11:00:00,25%,22.5
131,B002,90,Tue Nov 10 12:00:00,25%,22.5
132,B002,90,Tue Nov 10 13:00:00,25%,22.5
133,B002,90,Tue Nov 10 14:00:00,50%,45.0
134,B002,90,Tue Nov 10 15:00:00,50%,45.0
135,B002,90,Tue Nov 10 16:00:00,25%,22.5
136,B002,90,Wed Nov 11 09:00:00,25%,22.5
137,B002,90,Wed Nov 11 10:00:00,0%,0.0
138,B002,90,Wed Nov 11 11:00:00,25%,22.5
139,B002,90,Wed Nov 11 12:00:00,25%,22.5
140,B002,90,Wed Nov 11 13:00:00,25%,22.5
141,B002,90,Wed Nov 11 14:00:00,0%,0.0
142,B002,90,Wed Nov 11 15:00:00,25%,22.5
143,B002,90,Wed Nov 11 16:00:00,25%,22.5
144,B002,90,Thu Nov 12 09:00:00,0%,0.0
145,B002,90,Thu Nov 12 10:00:00,25%,22.5
146,B002,90,Thu Nov 12 11:00:00,25%,22.5
147,B002,90,Thu Nov 12 12:00:00,25%,22.5
148,B002,90,Thu Nov 12 13:00:00,0%,0.0
149,B002,90,Thu Nov 12 14:00:00,50%,45.0
150,B002,90,Thu Nov 12 15:00:00,25%,22.5
151,B002,90,Thu Nov 12 16:00:00,25%,22.5
152,B002,90,Fri Nov 13 09:00:00,0%,0.0
153,B002,90,Fri Nov 13 10:00:00,0%,0.0
154,B002,90,Fri Nov 13 11:00:00,0%,0.0
155,B002,90,Fri Nov 13 12:00:00,0%,0.0
156,B002,90,Fri Nov 13 13:00:00,0%,0.0
157,B002,90,Fri Nov 13 14:00:00,25%,22.5
158,B002,90,Fri Nov 13 15:00:00,25%,22.5
159,B002,90,Fri Nov 13 16:00:00,25%,22.5
160,B003,90,Mon Nov 02 09:00:00,25%,22.5
161,B003,90,Mon Nov 02 10:00:00,50%,45.0
162,B003,90,Mon Nov 02 11:00:00,50%,45.0
163,B003,90,Mon Nov 02 12:00:00,50%,45.0
164,B003,90,Mon Nov 02 13:00:00,25%,22.5
165,B003,90,Mon Nov 02 14:00:00,50%,45.0
166,B003,90,Mon Nov 02 15:00:00,25%,22.5
167,B003,90,Mon Nov 02 16:00:00,25%,22.5
168,B003,90,Tue Nov 03 09:00:00,0%,0.0
169,B003,90,Tue Nov 03 10:00:00,75%,67.5
170,B003,90,Tue Nov 03 11:00:00,75%,67.5
171,B003,90,Tue Nov 03 12:00:00,25%,22.5
172,B003,90,Tue Nov 03 13:00:00,0%,0.0
173,B003,90,Tue Nov 03 14:00:00,50%,45.0
174,B003,90,Tue Nov 03 15:00:00,25%,22.5
175,B003,90,Tue Nov 03 16:00:00,0%,0.0
176,B003,90,Wed Nov 04 09:00:00,0%,0.0
177,B003,90,Wed Nov 04 10:00:00,25%,22.5
178,B003,90,Wed Nov 04 11:00:00,0%,0.0
179,B003,90,Wed Nov 04 12:00:00,75%,67.5
180,B003,90,Wed Nov 04 13:00:00,75%,67.5
181,B003,90,Wed Nov 04 14:00:00,0%,0.0
182,B003,90,Wed Nov 04 15:00:00,0%,0.0
183,B003,90,Wed Nov 04 16:00:00,0%,0.0
184,B003,90,Thu Nov 05 09:00:00,0%,0.0
185,B003,90,Thu Nov 05 10:00:00,25%,22.5
186,B003,90,Thu Nov 05 11:00:00,25%,22.5
187,B003,90,Thu Nov 05 12:00:00,50%,45.0
