room,capacity,time,occupancy
B002,90,Mon Nov 09 10:00:00,25%
B002,90,Mon Nov 09 11:00:00,0%
B002,90,Mon Nov 09 12:00:00,25%
B002,90,Mon Nov 09 13:00:00,25%
B002,90,Mon Nov 09 14:00:00,25%
B002,90,Mon Nov 09 15:00:00,25%
B002,90,Mon Nov 09 16:00:00,25%
B002,90,Tue Nov 10 09:00:00,0%
B002,90,Tue Nov 10 10:00:00,0%
B002,90,Tue Nov 10 11:00:00,25%
B002,90,Tue Nov 10 12:00:00,25%
B002,90,Tue Nov 10 13:00:00,25%
B002,90,Tue Nov 10 14:00:00,50%
B002,90,Tue Nov 10 15:00:00,50%
B002,90,Tue Nov 10 16:00:00,25%
B002,90,Wed Nov 11 09:00:00,25%
B002,90,Wed Nov 11 10:00:00,0%
B002,90,Wed Nov 11 11:00:00,25%
B002,90,Wed Nov 11 12:00:00,25%
B002,90,Wed Nov 11 13:00:00,25%
B002,90,Wed Nov 11 14:00:00,0%
B002,90,Wed Nov 11 15:00:00,25%
B002,90,Wed Nov 11 16:00:00,25%
B002,90,Thu Nov 12 09:00:00,0%
B002,90,Thu Nov 12 10:00:00,25%
B002,90,Thu Nov 12 11:00:00,25%
B002,90,Thu Nov 12 12:00:00,25%
B002,90,Thu Nov 12 13:00:00,0%
B002,90,Thu Nov 12 14:00:00,50%
B002,90,Thu Nov 12 15:00:00,25%
B002,90,Thu Nov 12 16:00:00,25%
B002,90,Fri Nov 13 09:00:00,0%
B002,90,Fri Nov 13 10:00:00,0%
B002,90,Fri Nov 13 11:00:00,0%
B002,90,Fri Nov 13 12:00:00,0%
B002,90,Fri Nov 13 13:00:00,0%
B002,90,Fri Nov 13 14:00:00,25%
B002,90,Fri Nov 13 15:00:00,25%
B002,90,Fri Nov 13 16:00:00,25%
B003,90,Mon Nov 02 09:00:00,25%
B003,90,Mon Nov 02 10:00:00,50%
B003,90,Mon Nov 02 11:00:00,50%
B003,90,Mon Nov 02 12:00:00,50%
B003,90,Mon Nov 02 13:00:00,25%
B003,90,Mon Nov 02 14:00:00,50%
B003,90,Mon Nov 02 15:00:00,25%
B003,90,Mon Nov 02 16:00:00,25%
B003,90,Tue Nov 03 09:00:00,0%
B003,90,Tue Nov 03 10:00:00,75%
B003,90,Tue Nov 03 11:00:00,75%
