,campus,building,room,time,associated,authenticated,capacity,occupancy,occupancyCount,module,size
71,Belfield,Computer Science,B002,Tue Nov 03 02:03:47,0.0,0.0,,,,,
72,Belfield,Computer Science,B002,Tue Nov 03 02:08:47,0.0,0.0,,,,,
73,Belfield,Computer Science,B002,Tue Nov 03 02:13:44,0.0,0.0,,,,,
74,Belfield,Computer Science,B002,Tue Nov 03 02:18:45,0.0,0.0,,,,,
75,Belfield,Computer Science,B002,Tue Nov 03 02:23:46,0.0,0.0,,,,,
76,Belfield,Computer Science,B002,Tue Nov 03 02:28:48,0.0,0.0,,,,,
77,Belfield,Computer Science,B002,Tue Nov 03 02:33:49,0.0,0.0,,,,,
78,Belfield,Computer Science,B002,Tue Nov 03 02:38:52,0.0,0.0,,,,,
79,Belfield,Computer Science,B002,Tue Nov 03 02:43:52,0.0,0.0,,,,,
80,Belfield,Computer Science,B002,Tue Nov 03 02:48:54,0.0,0.0,,,,,
81,Belfield,Computer Science,B002,Tue Nov 03 02:53:52,0.0,0.0,,,,,
82,Belfield,Computer Science,B002,Tue Nov 03 02:58:53,0.0,0.0,,,,,
83,Belfield,Computer Science,B002,Tue Nov 03 03:03:55,0.0,0.0,,,,,
84,Belfield,Computer Science,B002,Tue Nov 03 03:08:57,0.0,0.0,,,,,
85,Belfield,Computer Science,B002,Tue Nov 03 03:12:10,0.0,0.0,,,,,
86,Belfield,Computer Science,B002,Tue Nov 03 03:18:58,0.0,0.0,,,,,
87,Belfield,Computer Science,B002,Tue Nov 03 03:23:57,0.0,0.0,,,,,
88,Belfield,Computer Science,B002,Tue Nov 03 03:29:00,0.0,0.0,,,,,
89,Belfield,Computer Science,B002,Tue Nov 03 03:34:03,0.0,0.0,,,,,
90,Belfield,Computer Science,B002,Tue Nov 03 03:39:00,0.0,0.0,,,,,
91,Belfield,Computer Science,B002,Tue Nov 03 03:44:03,0.0,0.0,,,,,
92,Belfield,Computer Science,B002,Tue Nov 03 03:49:02,0.0,0.0,,,,,
93,Belfield,Computer Science,B002,Tue Nov 03 03:54:04,0.0,0.0,,,,,
94,Belfield,Computer Science,B002,Tue Nov 03 03:59:06,0.0,0.0,,,,,
95,Belfield,Computer Science,B002,Tue Nov 03 04:04:08,0.0,0.0,,,,,
96,Belfield,Computer Science,B002,Tue Nov 03 04:09:07,0.0,0.0,,,,,
97,Belfield,Computer Science,B002,Tue Nov 03 04:14:07,0.0,0.0,,,,,
98,Belfield,Computer Science,B002,Tue Nov 03 04:19:09,0.0,0.0,,,,,
99,Belfield,Computer Science,B002,Tue Nov 03 04:24:09,0.0,0.0,,,,,
100,Belfield,Computer Science,B002,Tue Nov 03 04:29:11,0.0,0.0,,,,,
101,Belfield,Computer Science,B002,Tue Nov 03 04:34:13,0.0,0.0,,,,,
102,Belfield,Computer Science,B002,Tue Nov 03 04:39:12,0.0,0.0,,,,,
103,Belfield,Computer Science,B002,Tue Nov 03 04:44:13,0.0,0.0,,,,,
104,Belfield,Computer Science,B002,Tue Nov 03 04:49:13,0.0,0.0,,,,,
105,Belfield,Computer Science,B002,Tue Nov 03 04:54:15,0.0,0.0,,,,,
106,Belfield,Computer Science,B002,Tue Nov 03 04:59:19,0.0,0.0,,,,,
107,Belfield,Computer Science,B002,Tue Nov 03 05:04:20,0.0,0.0,,,,,
108,Belfield,Computer Science,B002,Tue Nov 03 05:09:20,0.0,0.0,,,,,
109,Belfield,Computer Science,B002,Tue Nov 03 05:14:20,0.0,0.0,,,,,
110,Belfield,Computer Science,B002,Tue Nov 03 05:19:23,0.0,0.0,,,,,
111,Belfield,Computer Science,B002,Tue Nov 03 05:24:24,0.0,0.0,,,,,
112,Belfield,Computer Science,B002,Tue Nov 03 05:29:26,0.0,0.0,,,,,
113,Belfield,Computer Science,B002,Tue Nov 03 05:34:26,0.0,0.0,,,,,
114,Belfield,Computer Science,B002,Tue Nov 03 05:39:27,0.0,0.0,,,,,
115,Belfield,Computer Science,B002,Tue Nov 03 05:44:28,0.0,0.0,,,,,
116,Belfield,Computer Science,B002,Tue Nov 03 05:49:30,0.0,0.0,,,,,
117,Belfield,Computer Science,B002,Tue Nov 03 05:54:36,0.0,0.0,,,,,
118,Belfield,Computer Science,B002,Tue Nov 03 05:59:41,0.0,0.0,,,,,
119,Belfield,Computer Science,B002,Tue Nov 03 06:04:43,0.0,0.0,,,,,
120,Belfield,Computer Science,B002,Tue Nov 03 06:09:41,0.0,0.0,,,,,
121,Belfield,Computer Science,B002,Tue Nov 03 06:14:40,0.0,0.0,,,,,
122,Belfield,Computer Science,B002,Tue Nov 03 06:19:44,0.0,0.0,,,,,
