,room,capacity,occupancy,day,month,date,time
106,B002,90,25%,Thu,Nov,05,11:00:00
107,B002,90,25%,Thu,Nov,05,12:00:00
108,B002,90,25%,Thu,Nov,05,13:00:00
109,B002,90,25%,Thu,Nov,05,14:00:00
110,B002,90,50%,Thu,Nov,05,15:00:00
111,B002,90,0%,Thu,Nov,05,16:00:00
112,B002,90,0%,Fri,Nov,06,09:00:00
113,B002,90,0%,Fri,Nov,06,10:00:00
114,B002,90,25%,Fri,Nov,06,11:00:00
115,B002,90,25%,Fri,Nov,06,12:00:00
116,B002,90,25%,Fri,Nov,06,13:00:00
117,B002,90,25%,Fri,Nov,06,14:00:00
118,B002,90,50%,Fri,Nov,06,15:00:00
119,B002,90,50%,Fri,Nov,06,16:00:00
120,B002,90,25%,Mon,Nov,09,09:00:00
121,B002,90,25%,Mon,Nov,09,10:00:00
122,B002,90,0%,Mon,Nov,09,11:00:00
123,B002,90,25%,Mon,Nov,09,12:00:00
124,B002,90,25%,Mon,Nov,09,13:00:00
125,B002,90,25%,Mon,Nov,09,14:00:00
126,B002,90,25%,Mon,Nov,09,15:00:00
127,B002,90,25%,Mon,Nov,09,16:00:00
128,B002,90,0%,Tue,Nov,10,09:00:00
129,B002,90,0%,Tue,Nov,10,10:00:00
130,B002,90,25%,Tue,Nov,10,11:00:00
131,B002,90,25%,Tue,Nov,10,12:00:00
132,B002,90,25%,Tue,Nov,10,13:00:00
133,B002,90,50%,Tue,Nov,10,14:00:00
134,B002,90,50%,Tue,Nov,10,15:00:00
135,B002,90,25%,Tue,Nov,10,16:00:00
136,B002,90,25%,Wed,Nov,11,09:00:00
137,B002,90,0%,Wed,Nov,11,10:00:00
138,B002,90,25%,Wed,Nov,11,11:00:00
139,B002,90,25%,Wed,Nov,11,12:00:00
140,B002,90,25%,Wed,Nov,11,13:00:00
141,B002,90,0%,Wed,Nov,11,14:00:00
142,B002,90,25%,Wed,Nov,11,15:00:00
143,B002,90,25%,Wed,Nov,11,16:00:00
144,B002,90,0%,Thu,Nov,12,09:00:00
145,B002,90,25%,Thu,Nov,12,10:00:00
146,B002,90,25%,Thu,Nov,12,11:00:00
147,B002,90,25%,Thu,Nov,12,12:00:00
148,B002,90,0%,Thu,Nov,12,13:00:00
149,B002,90,50%,Thu,Nov,12,14:00:00
150,B002,90,25%,Thu,Nov,12,15:00:00
151,B002,90,25%,Thu,Nov,12,16:00:00
152,B002,90,0%,Fri,Nov,13,09:00:00
153,B002,90,0%,Fri,Nov,13,10:00:00
154,B002,90,0%,Fri,Nov,13,11:00:00
155,B002,90,0%,Fri,Nov,13,12:00:00
156,B002,90,0%,Fri,Nov,13,13:00:00
157,B002,90,25%,Fri,Nov,13,14:00:00
158,B002,90,25%,Fri,Nov,13,15:00:00
159,B002,90,25%,Fri,Nov,13,16:00:00
160,B003,90,25%,Mon,Nov,02,09:00:00
161,B003,90,50%,Mon,Nov,02,10:00:00
162,B003,90,50%,Mon,Nov,02,11:00:00
163,B003,90,50%,Mon,Nov,02,12:00:00
164,B003,90,25%,Mon,Nov,02,13:00:00
165,B003,90,50%,Mon,Nov,02,14:00:00
166,B003,90,25%,Mon,Nov,02,15:00:00
167,B003,90,25%,Mon,Nov,02,16:00:00
168,B003,90,0%,Tue,Nov,03,09:00:00
169,B003,90,75%,Tue,Nov,03,10:00:00
170,B003,90,75%,Tue,Nov,03,11:00:00
171,B003,90,25%,Tue,Nov,03,12:00:00
172,B003,90,0%,Tue,Nov,03,13:00:00
173,B003,90,50%,Tue,Nov,03,14:00:00
174,B003,90,25%,Tue,Nov,03,15:00:00
175,B003,90,0%,Tue,Nov,03,16:00:00
176,B003,90,0%,Wed,Nov,04,09:00:00
177,B003,90,25%,Wed,Nov,04,10:00:00
178,B003,90,0%,Wed,Nov,04,11:00:00
179,B003,90,75%,Wed,Nov,04,12:00:00
180,B003,90,75%,Wed,Nov,04,13:00:00
181,B003,90,0%,Wed,Nov,04,14:00:00
182,B003,90,0%,Wed,Nov,04,15:00:00
183,B003,90,0%,Wed,Nov,04,16:00:00
184,B003,90,0%,Thu,Nov,05,09:00:00
185,B003,90,25%,Thu,Nov,05,10:00:00
186,B003,90,25%,Thu,Nov,05,11:00:00
187,B003,90,50%,Thu,Nov,05,12:00:00
188,B003,90,25%,Thu,Nov,05,13:00:00
189,B003,90,25%,Thu,Nov,05,14:00:00
190,B003,90,0%,Thu,Nov,05,15:00:00
191,B003,90,0%,Thu,Nov,05,16:00:00
192,B003,90,25%,Fri,Nov,06,09:00:00
193,B003,90,75%,Fri,Nov,06,10:00:00
194,B003,90,25%,Fri,Nov,06,11:00:00
195,B003,90,25%,Fri,Nov,06,12:00:00
196,B003,90,0%,Fri,Nov,06,13:00:00
197,B003,90,75%,Fri,Nov,06,14:00:00
198,B003,90,75%,Fri,Nov,06,15:00:00
199,B003,90,50%,Fri,Nov,06,16:00:00
200,B003,90,50%,Mon,Nov,09,09:00:00
201,B003,90,25%,Mon,Nov,09,10:00:00
202,B003,90,50%,Mon,Nov,09,11:00:00
203,B003,90,50%,Mon,Nov,09,12:00:00
204,B003,90,25%,Mon,Nov,09,13:00:00
205,B003,90,25%,Mon,Nov,09,14:00:00
206,B003,90,25%,Mon,Nov,09,15:00:00
207,B003,90,25%,Mon,Nov,09,16:00:00
208,B003,90,0%,Tue,Nov,10,09:00:00
209,B003,90,0%,Tue,Nov,10,10:00:00
210,B003,90,50%,Tue,Nov,10,11:00:00
211,B003,90,50%,Tue,Nov,10,12:00:00
212,B003,90,25%,Tue,Nov,10,13:00:00
213,B003,90,25%,Tue,Nov,10,14:00:00
214,B003,90,25%,Tue,Nov,10,15:00:00
215,B003,90,0%,Tue,Nov,10,16:00:00
216,B003,90,0%,Wed,Nov,11,09:00:00
217,B003,90,0%,Wed,Nov,11,10:00:00
218,B003,90,75%,Wed,Nov,11,11:00:00
219,B003,90,75%,Wed,Nov,11,12:00:00
220,B003,90,75%,Wed,Nov,11,13:00:00
221,B003,90,50%,Wed,Nov,11,14:00:00
222,B003,90,25%,Wed,Nov,11,15:00:00
223,B003,90,50%,Wed,Nov,11,16:00:00
224,B003,90,0%,Thu,Nov,12,09:00:00
225,B003,90,0%,Thu,Nov,12,10:00:00
226,B003,90,25%,Thu,Nov,12,11:00:00
227,B003,90,25%,Thu,Nov,12,12:00:00
228,B003,90,0%,Thu,Nov,12,13:00:00
229,B003,90,25%,Thu,Nov,12,14:00:00
230,B003,90,25%,Thu,Nov,12,15:00:00
231,B003,90,0%,Thu,Nov,12,16:00:00
232,B003,90,50%,Fri,Nov,13,09:00:00
233,B003,90,50%,Fri,Nov,13,10:00:00
234,B003,90,25%,Fri,Nov,13,11:00:00
235,B003,90,25%,Fri,Nov,13,12:00:00
236,B003,90,0%,Fri,Nov,13,13:00:00
237,B003,90,50%,Fri,Nov,13,14:00:00
238,B003,90,25%,Fri,Nov,13,15:00:00
239,B003,90,25%,Fri,Nov,13,16:00:00
240,B1.06,90,100%,Mon,Nov,02,09:00:00
241,B1.06,90,100%,Mon,Nov,02,10:00:00
242,B1.06,90,25%,Mon,Nov,02,11:00:00
243,B1.06,90,25%,Mon,Nov,02,12:00:00
244,B1.06,90,100%,Mon,Nov,02,13:00:00
245,B1.06,90,100%,Mon,Nov,02,14:00:00
246,B1.06,90,100%,Mon,Nov,02,15:00:00
247,B1.06,90,50%,Mon,Nov,02,16:00:00
248,B1.06,90,0%,Tue,Nov,03,09:00:00
249,B1.06,90,50%,Tue,Nov,03,10:00:00
250,B1.06,90,75%,Tue,Nov,03,11:00:00
251,B1.06,90,0%,Tue,Nov,03,12:00:00
252,B1.06,90,0%,Tue,Nov,03,13:00:00
253,B1.06,90,50%,Tue,Nov,03,14:00:00
254,B1.06,90,75%,Tue,Nov,03,15:00:00
255,B1.06,90,50%,Tue,Nov,03,16:00:00
256,B1.06,90,75%,Wed,Nov,04,09:00:00
257,B1.06,90,75%,Wed,Nov,04,10:00:00
258,B1.06,90,0%,Wed,Nov,04,11:00:00
259,B1.06,90,50%,Wed,Nov,04,12:00:00
260,B1.06,90,50%,Wed,Nov,04,13:00:00
