date,month,year,time,rssi
27,07,2016,11:56:56,60
27,07,2016,11:57:26,61
27,07,2016,11:57:56,61
27,07,2016,11:58:26,61
27,07,2016,11:58:56,61
27,07,2016,11:59:26,61
27,07,2016,11:59:56,60
27,07,2016,12:00:26,60
27,07,2016,12:00:56,60
27,07,2016,12:01:26,60
27,07,2016,12:01:56,60
27,07,2016,12:02:26,60
27,07,2016,12:02:57,60
27,07,2016,12:03:27,61
27,07,2016,12:03:57,61
27,07,2016,12:04:27,60
27,07,2016,12:04:57,61
27,07,2016,12:05:27,61
27,07,2016,12:05:57,61
27,07,2016,12:06:27,61
27,07,2016,12:06:57,61
27,07,2016,12:07:27,61
27,07,2016,12:07:57,60
27,07,2016,12:08:27,61
27,07,2016,12:08:57,61
27,07,2016,12:09:27,62
27,07,2016,12:09:57,61
27,07,2016,12:10:27,61
27,07,2016,12:10:57,61
27,07,2016,12:11:27,61
27,07,2016,12:11:57,61
27,07,2016,12:12:27,61
27,07,2016,12:12:57,61
27,07,2016,12:13:27,61
27,07,2016,12:13:57,61
27,07,2016,12:14:27,61
27,07,2016,12:14:57,60
27,07,2016,12:15:27,61
27,07,2016,12:15:57,61
27,07,2016,12:16:27,61
27,07,2016,12:16:57,61
27,07,2016,12:17:27,61
27,07,2016,12:17:57,61
27,07,2016,12:18:27,61
27,07,2016,12:18:57,61
27,07,2016,12:19:27,61
27,07,2016,12:19:57,61
27,07,2016,12:20:27,62
27,07,2016,12:20:57,61
27,07,2016,12:21:27,61
27,07,2016,12:21:57,61
27,07,2016,12:22:27,61
27,07,2016,12:22:57,61
27,07,2016,12:23:27,62
27,07,2016,12:23:57,61
27,07,2016,12:24:27,61
27,07,2016,12:24:57,61
27,07,2016,12:25:27,61
27,07,2016,12:25:57,61
27,07,2016,12:26:27,61
27,07,2016,12:26:57,62
27,07,2016,12:27:27,61
27,07,2016,12:27:57,61
27,07,2016,12:28:27,61
27,07,2016,12:28:57,61
27,07,2016,12:29:27,60
27,07,2016,12:29:58,61
27,07,2016,12:30:28,60
27,07,2016,12:30:58,60
27,07,2016,12:31:28,61
27,07,2016,12:31:58,61
27,07,2016,12:32:28,62
27,07,2016,12:32:58,63
27,07,2016,12:33:28,61
27,07,2016,12:33:58,61
27,07,2016,12:34:28,61
27,07,2016,12:34:58,62
27,07,2016,12:35:28,61
27,07,2016,12:35:58,61
27,07,2016,12:36:28,61
27,07,2016,12:36:58,61
27,07,2016,12:37:28,60
27,07,2016,12:37:58,60
27,07,2016,12:38:28,61
27,07,2016,12:38:58,62
27,07,2016,12:39:28,61
27,07,2016,12:39:58,61
27,07,2016,12:40:28,60
27,07,2016,12:40:58,60
27,07,2016,12:41:28,60
27,07,2016,12:41:58,61
27,07,2016,12:42:28,61
27,07,2016,12:42:58,60
27,07,2016,12:43:28,60
27,07,2016,12:43:58,61
27,07,2016,12:44:28,61
27,07,2016,12:44:58,61
27,07,2016,12:45:28,60
27,07,2016,12:45:58,61
27,07,2016,12:46:28,61
27,07,2016,12:46:58,60
27,07,2016,12:47:28,61
27,07,2016,12:47:58,61
27,07,2016,12:48:28,60
27,07,2016,12:48:58,60
27,07,2016,12:49:28,60
27,07,2016,12:49:58,61
27,07,2016,12:50:28,60
27,07,2016,12:50:58,61
27,07,2016,12:51:28,61
27,07,2016,12:51:58,61
27,07,2016,12:52:28,61
27,07,2016,12:52:58,61
27,07,2016,12:53:28,61
27,07,2016,12:53:59,60
27,07,2016,12:54:29,60
27,07,2016,12:54:59,60
27,07,2016,12:55:29,61
27,07,2016,12:55:59,61
27,07,2016,12:56:29,61
27,07,2016,12:56:59,61
27,07,2016,12:57:29,61
27,07,2016,12:57:59,60
27,07,2016,12:58:29,60
27,07,2016,12:58:59,60
27,07,2016,12:59:29,60
27,07,2016,12:59:59,60
27,07,2016,13:00:29,61
27,07,2016,13:00:59,63
27,07,2016,13:01:29,62
27,07,2016,13:01:59,60
27,07,2016,13:02:29,60
27,07,2016,13:02:59,61
27,07,2016,13:03:29,61
27,07,2016,13:03:59,60
27,07,2016,13:04:29,61
27,07,2016,13:04:59,60
27,07,2016,13:05:29,60
27,07,2016,13:05:59,61
27,07,2016,13:06:29,60
27,07,2016,13:06:59,61
27,07,2016,13:07:29,61
27,07,2016,13:07:59,61
27,07,2016,13:08:29,61
27,07,2016,13:08:59,61
27,07,2016,13:09:29,62
27,07,2016,13:09:59,61
27,07,2016,13:10:29,61
27,07,2016,13:10:59,61
27,07,2016,13:11:29,62
27,07,2016,13:11:59,61
27,07,2016,13:12:29,61
27,07,2016,13:12:59,61
27,07,2016,13:13:29,60
27,07,2016,13:13:59,61
27,07,2016,13:14:29,60
27,07,2016,13:14:59,61
27,07,2016,13:15:29,61
27,07,2016,13:15:59,61
27,07,2016,13:16:29,61
27,07,2016,13:16:59,61
27,07,2016,13:17:30,62
27,07,2016,13:18:00,61
27,07,2016,13:18:30,61
27,07,2016,13:19:00,61
27,07,2016,13:19:30,61
27,07,2016,13:20:00,60
27,07,2016,13:20:30,61
27,07,2016,13:21:00,60
27,07,2016,13:21:30,61
27,07,2016,13:22:00,60
